,_id,textDisplay,likeCount,keyword_search,Brand,Overview sentiment,Features,is_sentiment_comment
0,64b6c01aa4428eeea7531071,ชอบกล้อง กับ ตัดต่อวีดีโอแค่นั้นแหละถ้าจะซื้อไอโฟนมาใช้,0,iPhone 14,Apple,pos,กล้อง:pos,TRUE
2,64b6c01aa4428eeea7531073,อาจจะเพราะ8pมันเก่าเเล้วค้างบ่อยร้อนง่าย ,0,iPhone 14,Apple,neg,,TRUE
3,64b6c01aa4428eeea7531073,เเต่ip14 ที่ได้มาชอบมากครับติดนิดเดียวอย่างน้อยราคานี้น่าจะให้90Hz ดูกันยาวๆทีนี้,0,iPhone 14,Apple,,,TRUE
5,64b6c01aa4428eeea7531078,นี่ซื้อมาใช้ได้ 1 เดือน ,0,iPhone 14,Apple,,,TRUE
6,64b6c01aa4428eeea7531078,คุณภาพแบตลดไป 3% เหลือ 97%ถ้าหมดไป1ปี ,0,iPhone 14,Apple,neu,แบต:neu,TRUE
8,64b6c01aa4428eeea7531078,ผมนี่รู้สึกผิดมากๆในชีวิต ,0,iPhone 14,Apple,neg,,TRUE
9,64b6c01aa4428eeea7531078,อยากไปหารุ่นท็อปฝั่งแอนดรอยด์เหมือนเดิม #ส่วนตัวคือให้4/10 ครับ 😢😢😢,0,iPhone 14,Apple,neg,,TRUE
11,64b6c01aa4428eeea7531080,รอไม่ไหวแล้ว ,0,iPhone 14,Apple,pos,,TRUE
14,64b6c01aa4428eeea753108e,ก็เงินเขาอะเขาก็ผิดหวังปะชิปตัวเดิมจาก13จอ60Hzราคาหลักหมื่น,0,iPhone 14,Apple,neg,,TRUE
19,64b6c01aa4428eeea75310af,ถ้ากล้องเป็น 48mp จะขายดีกว่านี้,0,iPhone 14,Apple,neu,,TRUE
20,64b6c01aa4428eeea75310bb,ผมซื้อ 13 มินิ ใช้สบายมือมากๆ ,0,iPhone 14,Apple,pos,,TRUE
21,64b6c01aa4428eeea75310bb,แบตเตอรี่โอเค ,0,iPhone 14,Apple,pos,แบต:pos,TRUE
22,64b6c01aa4428eeea75310bb,กล้องสวย ,0,iPhone 14,Apple,pos,กล้อง:pos,TRUE
23,64b6c01aa4428eeea75310bb,พอใจมากๆ,0,iPhone 14,Apple,pos,,TRUE
24,64b6c01aa4428eeea75310c2,ขนาดอุตส่าห์ตัดใจเปลี่ยนจากซัมซุงระดับกลาง ๆ มา 14 ยังรู้สึกไม่มีความต่างเลยเรื่องหน้าจอ ,0,iPhone 14,Apple,neu,จอ:neu,TRUE
25,64b6c01aa4428eeea75310c2,แล้วยิ่งไปจับเสี่ยวมี่ที่หน้าจอ 120Hz ของพี่ชายคือแบบมองแรงใส่มือถือตัวเองบ่อยมาก 555555555555 แต่ก็ถือโอเคสำหรับคนเปลี่ยนมือถือไม่บ่อยหรือคนที่กระโดดจากแบรนด์นึงมาอีกแบรนด์ ,0,iPhone 14,Apple,pos,,TRUE
26,64b6c01aa4428eeea75310c5,60hz iphone ผมว่าดีกว่า 60hz เเอนดรอยเเน่ๆ ,0,iPhone 14,Apple,pos,จอ:pos,TRUE
27,64b6c01aa4428eeea75310c5,ผมว่า 60 มันนิ่งๆ เเต่ กับเเอนดรอย ,0,iPhone 14,Apple,neu,,TRUE
28,64b6c01aa4428eeea75310d7,ก่อนหน้านี้ใช้ Galaxy S8 จับโฟกัสภาพถ่ายใกล้ได้ดีกว่ามาก ,2,iPhone 14,Apple,neg,กล้อง:neg,TRUE
29,64b6c01aa4428eeea75310d7,ส่วนตัวรู้สึกผิดหวังนิดหน่อยที่ซื้อไอโฟน14 เพราะราคาค่อนข้างสูง แต่ประสิทธิภาพเมื่อเทียบกับแอนดรอยด์ ,2,iPhone 14,Apple,neg,,TRUE
30,64b6c01aa4428eeea75310d7,เราว่าแอนดรอยด์ดีกว่าเยอะ ,2,iPhone 14,Apple,neg,,TRUE
31,64b6c01aa4428eeea75310d7,ไม่กั๊กสเปคและฟังก์ชั่น,2,iPhone 14,Apple,pos,,TRUE
33,64b6c01aa4428eeea75310ff,ดันไม่ทำตึ่งหน้าจอเหมือน android ลำบากจัด,0,iPhone 14,Apple,neg,,TRUE
34,64b6c01aa4428eeea7531109,14รู้สึกแบตหมดแล้วคะ,0,iPhone 14,Apple,neg,แบต:neg,TRUE
35,64b6c01aa4428eeea7531115,สรุป 14 ไม่ต่างเลยกับ 13 ต่างแค่ความจุกับแรมและแบตเพิ่มขึ้นมานิดๆ แต่ cPU ความแรงเท่ากันสรุปใช้ 13 ต่อดีกว่านะ555555,7,iPhone 14,Apple,neg,,TRUE
38,64b6c01aa4428eeea7531124,ตอนนี้อเมริกาพัฒนาสู้จีนไม่ได้แล้วอีกหน่อยเขาใช้ดาวเทียมจากประเทศมหาอำนาจใหม่ที่ใช้ในการโทรได้ด้วยย้อนกลับมากับราคาต่างกันมากถ้าคิดแบบตรรกะหรูหรามีหน้ามีตาก็มีแต่เจ๊งกับเจ๊งถ้าคิดแบบรถเพื่อการพานิชย์ถือว่าสู้จีนไม่ได้ราคาแพงแบตสายชาร์จและที่ว่าดีๆมันก็คือข้อดีแต่ละข้อของแต่ละค่ายไม่ชอบอเมริกา เดี๋ยวก็เจ๊งแบบแบคเบอรรี่,0,iPhone 14,Apple,neg,,TRUE
39,64b6c01aa4428eeea753112b,จากคนใช้ ipad pro m1 กับ12promax 60กับ120hz แม่งโคตรต่างอ่ะ ,0,iPhone 14,Apple,neg,,TRUE
40,64b6c01aa4428eeea753112b,ตอนแรกตั้งใจจะกด14plus แต่เจอให้จองี้มาใช้เครื่องเดิมก็ได้😂😂,0,iPhone 14,Apple,neg,,TRUE
41,64b6c01aa4428eeea753112d,60 hz ปี2022 แล้ว กั๊กเกิน,0,iPhone 14,Apple,neg,จอ:neg,TRUE
44,64b6c01aa4428eeea753113f,ผมชอบกล้อง&ภาพถ่ายจาก iphone นะคือมันไม่หลอกตาและดูในระดับที่ไม่หลอกตาจนเวอร์เกินไป,0,iPhone 14,Apple,pos,กล้อง:pos,TRUE
45,64b6c01aa4428eeea7531143,โทรศัพท์ไม่สมบูรณ์ที่ชาร์จแบตไม่มีอย่าไปซื้อมันเห็นแก่ตัวแพงก็พอว่าไม่มีที่ชาร์จเหอะฯ,0,iPhone 14,Apple,neg,,TRUE
48,64b6c01aa4428eeea753114c,รู้สึกถ่ายเชลฟี่สวยกว่าตัว pm ตัว pm ,0,iPhone 14,Apple,pos,กล้อง:pos,TRUE
49,64b6c01aa4428eeea7531150,ผมใช้ I14 อยู่กับ ใช้อีกเครื่องระบบแอนดรอยด์ ต้องยอมรับเรื่องกล้องครับถ่ายภาพได้ประทับใจจริงๆ ,1,iPhone 14,Apple,pos,กล้อง:pos,TRUE
