,_id,textDisplay,Overview sentiment,Features,,เพิ่มใน Lexicon
0,64b6c01aa4428eeea7531071,ชอบกล้อง กับ ตัดต่อวีดีโอแค่นั้นแหละถ้าจะซื้อไอโฟนมาใช้,pos,กล้อง:pos,,questionable data
1,64b6c01aa4428eeea7531078,คุณภาพแบตลดไป 3% เหลือ 97%ถ้าหมดไป1ปี ,neu,แบต:neu,,
2,64b6c01aa4428eeea75310a0,มันควรปล่อย 120hz ได้แล้ว ,neu,จอ:neu,,
3,64b6c01aa4428eeea75310a0,กำลังจะตัดสินใจซื้อ 14 แต่พอจอ 60 บายเลยค่ะ,neg,จอ:neg,,
4,64b6c01aa4428eeea75310bb,แบตเตอรี่โอเค ,pos,แบต:pos,,
5,64b6c01aa4428eeea75310bb,กล้องสวย ,pos,กล้อง:pos,,
6,64b6c01aa4428eeea7531168,60 hz ปัจจุบันใช้ 120 พอเล่นหน้าจอรีเฟรชน้อย เลื่อนๆแล้วมันเวียนหัว รอรุ่นที่ราคาดี ,neu,จอ:neu,,
7,64b6c01aa4428eeea7531168,จอเริสๆ ,pos,จอ:pos,,
8,64b6c01aa4428eeea753123e,แอคชั่นโมด ออโตโฟกัสกล้อง บลูธูท5.3 แต่ถ้ามองการก้าวกระโดด 6S -> 13 ต่างกันโขเลย ,neu,กล้อง:neu,,
9,64b6c01aa4428eeea75311ab,น่าเกลียดตั้งแต่ 13 แล้วที่ไม่ให้ 120hz ปีนี้แอนดรอยราคาหมื่นกว่าๆก้ได้กันละ,neg,,,
10,64b6c01aa4428eeea75311eb,ปกติแล้วผู้หญิง ถึงถ่ายด้วย ip หรือ ss ก็ต้องผ่านแอฟอยู่แล้ว,neu,,,
11,64b6c01aa4428eeea75311e2,แต่ก่อนใช้12 พอมาเจอแอนดรอย จอ120Hz ฟาสชาจ120w เปลี่ยนโลกผมจริงๆ,neu,"จอ:neu,แบต:neu",,
12,64b6c01aa4428eeea7531234,เครื่องไม่มีรอยเลยใหม่มาก  หุ้ม powershield ทั้งตัว มีกันรอยกล้อง ,neu,,,
13,64b6c01aa4428eeea75310ff,ดันไม่ทำตึ่งหน้าจอเหมือน android ลำบากจัด,neg,จอ:neg,,
14,64b6c01aa4428eeea7531115,สรุป 14 ไม่ต่างเลยกับ 13 ต่างแค่ความจุกับแรมและแบตเพิ่มขึ้นมานิดๆ แต่ cPU ความแรงเท่ากันสรุปใช้ 13 ต่อดีกว่านะ555555,pos,,,
15,64b6c01aa4428eeea753113f,ผมชอบกล้อง&ภาพถ่ายจาก iphone นะคือมันไม่หลอกตาและดูในระดับที่ไม่หลอกตาจนเวอร์เกินไป,pos,กล้อง:pos,,
16,64b6c01aa4428eeea7531161,อย่างน้อยเปลี่ยนรูปแบบหน้าจอ ,neu,จอ:neu,,
17,64b6c01aa4428eeea7531172,แค่มันใส่จอ 90Hz มา ,neu,จอ:neu,,
18,64b6c01aa4428eeea7531189,ไอหน้าจอรีเฟรชเรท 120Hz เมื่อก่อนพี่ดรอยด์ราคา 7พัน ก็ได้แล้ว ,neu,จอ:neu,,
19,64b6c01aa4428eeea7531189,แต่เดี๋ยวนี้ 5พัน อย่างต่ำก็ได้ 90Hz แล้ว ต่างกับพี่เปิลข้ออ้างเยอะเหลือเกิน กั๊กสุดๆไปเลย ,neg,จอ:neg,,
20,64b6c01aa4428eeea753118d,ไม่มีคุณภาพ_ก็ย่อมทำสินค้า_ไม่มีคุณภาพ/__แบตก็เคยระเบิด_อันตราย_น่ากลัว,neg,แบต:neg,,
21,64b6c01aa4428eeea75310af,ถ้ากล้องเป็น 48mp จะขายดีกว่านี้,neu,กล้อง:neu,,
22,64b6c01aa4428eeea7531166,ให้จอซัก90Hzก็ยังดีนะ แต่ก็นั่นแหละ,neu,จอ:neu,,
23,64b6c01aa4428eeea7531198,i14ถ่ายคลิปสตอรี่ไอจีเเล้วช๊อตฟิวมาก,neg,กล้อง:neg,,
24,64b6c01aa4428eeea7531208,รุ่น 14 ธรรมดาถึงจะเหมือน 13 pro แต่ขาดตัว promotion display 120Hz  ซึ่งเป็,neu,จอ:neu,,
25,64b6c01aa4428eeea753107e,ผมใช้ 14 พอปิดหน้าจอ ,neu,จอ:neu,,
26,64b6c01aa4428eeea753113c,T T แค่ 33 w ก๋ได้12 pro ช้าเหลือเกิน ไปเที่ยวพัทยาไปขอชาร์จแบตร้านอาหาร ,neu,แบต:neu,,
27,64b6c01aa4428eeea753120d,ใช่ครับ ที่เจ็บใจกว่าก็คือ XR ที่ถูกกว่า แต่ดันได้ชิปที่แรงกว่าเครื่องเมนหลักแถมจอใหญ่และแบตอึดกว่าอีก ,neg,"จอ:neg,แบต:neg",,
28,64b6c01aa4428eeea7531210,ตอนนี้หน้าจอ S20 plus ผมมีเส้นสีเขียว สีชมพู ขึ้นจอเลยจะเปลี่ยนเป็น iphone ระหว่างจะซื้อ iphone 13 256gb หรือจะซื้อ iphone 14 128 gb ดีครับ ,neu,,,
29,64b6c01aa4428eeea753115c,33kได้จอ60hz ติดแค่ตรงนี้อะ,neu,จอ:neu,,
30,64b6c01aa4428eeea75311f1,กล้องหน้า,neu,กล้อง:neu,,
31,64b6c01aa4428eeea7531200,เสียดายไอโฟน14พลัสรีเฟรชเรทหน้าจอควรจะได้120Hz,neg,จอ:neg,,
32,64b6c01aa4428eeea753120f,ถ้าเป็นสายเล่นเกมก็คือลื่นมากนะคะ เรื่องกล้องเรื่องอะไรก็ดีเลยสำหรับเรา แต่นั่นแหละค่ะ 13กับ14คือหาความต่างไม่ค่อยเจอเลย555 ,pos,กล้อง:pos,,
33,64b6c01aa4428eeea7531080,ผมผู้ถือ 7Plus เมื่อไหร่มันจะเต็มจอสักที ,neu,จอ:neu,,
34,64b6c01aa4428eeea7531080,สงสัยต้อง 15 เอา แค่ c ก็พอก่อนละม้าง ไอ 18 ค่อยเต็มจอละกัน,neu,จอ:neu,,
35,64b6c01aa4428eeea75311f4,ซีพียู เหลือไลนิ่ง เหลือจอ เหลืออืม 😅,neg,จอ:neg,,
36,64b6c01aa4428eeea753112d,60 hz ปี2022 แล้ว กั๊กเกิน,neg,จอ:neg,,
37,64b6c01aa4428eeea7531143,โทรศัพท์ไม่สมบูรณ์ที่ชาร์จแบตไม่มีอย่าไปซื้อมันเห็นแก่ตัวแพงก็พอว่าไม่มีที่ชาร์จเหอะฯ,neg,แบต:neg,,
38,64b6c01aa4428eeea75311b6,เห็นด้วยหมดเลย ... แต่ส่วนตัว (แทบ) ไม่ได้ใช้กล้อง/ ไม่เล่นเกม (เลย) ... 7+/ 8+/ Xr ก็ยังเพียงพออยู่นะ,pos,,,
39,64b6c01aa4428eeea75311e3,ตอนนี้ยังใช้ได้อยู่555 เปลี่ยนแบต2รอบ ,neu,แบต:neu,,
40,64b6c01aa4428eeea7531239,ใช้ 11 อยู่ จอง 14 plus ไปแล้วรับวันที่ 9/10.ชอบที่จอใหญ่ขึ้น function ที่ให้มาเพียงพอกับการใช้งานแล้ว แต่ได้น้ำหนักเบาพอๆกับตัว 14 pro เบากว่า promax เกือบ 40 กรัม. ,pos,จอ:pos,,
41,64b6c01aa4428eeea7531239,ส่วนตัวคิดว่าถ้ามีคนได้ลองจับตัวจริงของ 14 plus  แล้วเป็นคนที่ชอบโทรศัพท์จอใหญ่ ,neu,จอ:neu,,
42,64b6c01aa4428eeea7531239,แบตอึด ,pos,แบต:pos,,
43,64b6c01aa4428eeea75310c2,60Hz หนืดจริงค่ะ ,neg,จอ:neg,,
44,64b6c01aa4428eeea75310c2,ขนาดอุตส่าห์ตัดใจเปลี่ยนจากซัมซุงระดับกลาง ๆ มา 14 ยังรู้สึกไม่มีความต่างเลยเรื่องหน้าจอ ,neu,จอ:neu,,
